0 	 Reward:  -0.001 	 Win Rate:  0.0 	 Completion:  0 	 Efficiency:  0 	 Duration:  0 	 Loss:  0 	 LR:  [1e-05] 	 Epsilon:  0.95
15500 	 Reward:  1.367 	 Win Rate:  0.0 	 Completion:  48 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6726115942001343 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
16000 	 Reward:  1.322 	 Win Rate:  0.0 	 Completion:  46 	 Efficiency:  39 	 Duration:  0 	 Loss:  0.6682776212692261 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
16500 	 Reward:  1.63 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6916359066963196 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
17000 	 Reward:  1.6 	 Win Rate:  0.0 	 Completion:  52 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6840686202049255 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
17500 	 Reward:  1.416 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  43 	 Duration:  0 	 Loss:  0.6625714302062988 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
18000 	 Reward:  1.623 	 Win Rate:  0.0 	 Completion:  52 	 Efficiency:  43 	 Duration:  0 	 Loss:  0.685113251209259 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
18500 	 Reward:  1.49 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6770705580711365 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
19000 	 Reward:  1.402 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6826571226119995 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
19500 	 Reward:  1.475 	 Win Rate:  0.0 	 Completion:  52 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6765360832214355 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
20000 	 Reward:  1.35 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6819939613342285 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
20500 	 Reward:  1.37 	 Win Rate:  0.2 	 Completion:  50 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6717096567153931 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
21000 	 Reward:  1.571 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  43 	 Duration:  0 	 Loss:  0.6662025451660156 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
21500 	 Reward:  1.43 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6713410019874573 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
22000 	 Reward:  1.501 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6797848343849182 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
22500 	 Reward:  1.465 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6716700196266174 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
23000 	 Reward:  1.473 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6778008341789246 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
23500 	 Reward:  1.331 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  39 	 Duration:  0 	 Loss:  0.6872562170028687 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
24000 	 Reward:  1.494 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.680855393409729 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
24500 	 Reward:  1.363 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6773615479469299 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
25000 	 Reward:  1.4 	 Win Rate:  0.2 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6835659742355347 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
25500 	 Reward:  1.494 	 Win Rate:  0.0 	 Completion:  52 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6716634631156921 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
26000 	 Reward:  1.442 	 Win Rate:  0.0 	 Completion:  48 	 Efficiency:  39 	 Duration:  0 	 Loss:  0.6827086210250854 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
26500 	 Reward:  1.384 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6733913421630859 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
27000 	 Reward:  1.436 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6633808612823486 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
27500 	 Reward:  1.469 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.686862051486969 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
28000 	 Reward:  1.474 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6719681620597839 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
28500 	 Reward:  1.451 	 Win Rate:  0.0 	 Completion:  52 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6737152338027954 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
29000 	 Reward:  1.379 	 Win Rate:  0.0 	 Completion:  47 	 Efficiency:  39 	 Duration:  0 	 Loss:  0.6646298766136169 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
29500 	 Reward:  1.468 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6815977692604065 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
30000 	 Reward:  1.712 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6834127306938171 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
30500 	 Reward:  1.446 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6739398837089539 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
31000 	 Reward:  1.283 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6690413951873779 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
31500 	 Reward:  1.472 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.658687174320221 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
32000 	 Reward:  1.462 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6716151833534241 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
32500 	 Reward:  1.491 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6620593070983887 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
33000 	 Reward:  1.602 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6685928106307983 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
33500 	 Reward:  1.42 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6726089715957642 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
34000 	 Reward:  1.375 	 Win Rate:  0.0 	 Completion:  46 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6739168763160706 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
34500 	 Reward:  1.543 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6670790314674377 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
35000 	 Reward:  1.403 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6742993593215942 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
35500 	 Reward:  1.382 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6751957535743713 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
36000 	 Reward:  1.385 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.661927342414856 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
36500 	 Reward:  1.427 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6632536053657532 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
37000 	 Reward:  1.453 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6650320291519165 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
37500 	 Reward:  1.198 	 Win Rate:  0.0 	 Completion:  45 	 Efficiency:  39 	 Duration:  0 	 Loss:  0.6676015257835388 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
38000 	 Reward:  1.344 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6674981713294983 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
38500 	 Reward:  1.682 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6871441602706909 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
39000 	 Reward:  1.38 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6744844913482666 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
39500 	 Reward:  1.357 	 Win Rate:  0.0 	 Completion:  48 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6711812615394592 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
40000 	 Reward:  1.368 	 Win Rate:  0.0 	 Completion:  48 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6701380610466003 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
40500 	 Reward:  1.469 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6731480956077576 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
41000 	 Reward:  1.503 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6717591285705566 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
41500 	 Reward:  1.252 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6663720607757568 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
42000 	 Reward:  1.439 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6727781891822815 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
42500 	 Reward:  1.46 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6640366911888123 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
