0 	 Reward:  -0.002 	 Win Rate:  0.0 	 Completion:  0 	 Efficiency:  0 	 Duration:  0 	 Loss:  0 	 LR:  [0.0005] 	 Epsilon:  0.95
15500 	 Reward:  2.139 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  52 	 Duration:  0 	 Loss:  0.6372588276863098 	 LR:  [0.0005] 	 Epsilon:  0.5403600876626365
16000 	 Reward:  1.979 	 Win Rate:  0.0 	 Completion:  54 	 Efficiency:  51 	 Duration:  0 	 Loss:  0.5940648317337036 	 LR:  [0.0005] 	 Epsilon:  0.5133420832795047
16500 	 Reward:  2.06 	 Win Rate:  0.0 	 Completion:  55 	 Efficiency:  51 	 Duration:  0 	 Loss:  0.6723873615264893 	 LR:  [0.0005] 	 Epsilon:  0.5133420832795047
17000 	 Reward:  2.046 	 Win Rate:  0.0 	 Completion:  54 	 Efficiency:  52 	 Duration:  0 	 Loss:  0.6145877242088318 	 LR:  [0.0005] 	 Epsilon:  0.5133420832795047
17500 	 Reward:  2.013 	 Win Rate:  0.0 	 Completion:  58 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.6424151659011841 	 LR:  [0.0005] 	 Epsilon:  0.5133420832795047
18000 	 Reward:  2.206 	 Win Rate:  0.0 	 Completion:  54 	 Efficiency:  51 	 Duration:  0 	 Loss:  0.6171536445617676 	 LR:  [0.0005] 	 Epsilon:  0.5133420832795047
18500 	 Reward:  1.996 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  52 	 Duration:  0 	 Loss:  0.6286450028419495 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
19000 	 Reward:  2.144 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.6308594346046448 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
19500 	 Reward:  1.798 	 Win Rate:  0.0 	 Completion:  52 	 Efficiency:  52 	 Duration:  0 	 Loss:  0.6084661483764648 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
20000 	 Reward:  2.104 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.6357507109642029 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
20500 	 Reward:  1.991 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.6099162101745605 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
21000 	 Reward:  2.204 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.6437381505966187 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
21500 	 Reward:  2.188 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.6115089058876038 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
22000 	 Reward:  2.138 	 Win Rate:  0.0 	 Completion:  55 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.615054726600647 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
22500 	 Reward:  2.082 	 Win Rate:  0.0 	 Completion:  58 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.6179800629615784 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
23000 	 Reward:  2.06 	 Win Rate:  0.0 	 Completion:  55 	 Efficiency:  51 	 Duration:  0 	 Loss:  0.6397596001625061 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
23500 	 Reward:  2.114 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.631762683391571 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
24000 	 Reward:  2.161 	 Win Rate:  0.0 	 Completion:  54 	 Efficiency:  51 	 Duration:  0 	 Loss:  0.630844235420227 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
24500 	 Reward:  2.08 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  52 	 Duration:  0 	 Loss:  0.6240736246109009 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
25000 	 Reward:  2.244 	 Win Rate:  0.2 	 Completion:  56 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.5933813452720642 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
25500 	 Reward:  1.965 	 Win Rate:  0.0 	 Completion:  55 	 Efficiency:  52 	 Duration:  0 	 Loss:  0.614786684513092 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
26000 	 Reward:  2.295 	 Win Rate:  0.0 	 Completion:  58 	 Efficiency:  56 	 Duration:  0 	 Loss:  0.6212911009788513 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
26500 	 Reward:  2.133 	 Win Rate:  0.4 	 Completion:  55 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.6307498216629028 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
27000 	 Reward:  2.147 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.6131970286369324 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
27500 	 Reward:  2.181 	 Win Rate:  0.0 	 Completion:  54 	 Efficiency:  52 	 Duration:  0 	 Loss:  0.6211327314376831 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
28000 	 Reward:  2.175 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.609748363494873 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
28500 	 Reward:  2.174 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  52 	 Duration:  0 	 Loss:  0.599973738193512 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
29000 	 Reward:  2.003 	 Win Rate:  0.0 	 Completion:  52 	 Efficiency:  51 	 Duration:  0 	 Loss:  0.5949090123176575 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
29500 	 Reward:  2.005 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  52 	 Duration:  0 	 Loss:  0.6048283576965332 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
30000 	 Reward:  2.147 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  52 	 Duration:  0 	 Loss:  0.6514602899551392 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
30500 	 Reward:  2.104 	 Win Rate:  0.0 	 Completion:  54 	 Efficiency:  52 	 Duration:  0 	 Loss:  0.5943010449409485 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
31000 	 Reward:  2.226 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.6199320554733276 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
31500 	 Reward:  2.024 	 Win Rate:  0.0 	 Completion:  55 	 Efficiency:  52 	 Duration:  0 	 Loss:  0.5941324234008789 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
32000 	 Reward:  2.138 	 Win Rate:  0.2 	 Completion:  54 	 Efficiency:  50 	 Duration:  0 	 Loss:  0.6164834499359131 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
32500 	 Reward:  2.532 	 Win Rate:  0.0 	 Completion:  60 	 Efficiency:  56 	 Duration:  0 	 Loss:  0.6066708564758301 	 LR:  [0.0005] 	 Epsilon:  0.48767497911552943
33000 	 Reward:  2.263 	 Win Rate:  0.2 	 Completion:  57 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.599089503288269 	 LR:  [0.0005] 	 Epsilon:  0.46329123015975293
33500 	 Reward:  2.178 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.6215014457702637 	 LR:  [0.0005] 	 Epsilon:  0.46329123015975293
34000 	 Reward:  2.32 	 Win Rate:  0.0 	 Completion:  58 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.6071724891662598 	 LR:  [0.0005] 	 Epsilon:  0.46329123015975293
34500 	 Reward:  2.071 	 Win Rate:  0.2 	 Completion:  55 	 Efficiency:  52 	 Duration:  0 	 Loss:  0.6046702861785889 	 LR:  [0.0005] 	 Epsilon:  0.46329123015975293
35000 	 Reward:  2.349 	 Win Rate:  0.0 	 Completion:  59 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.6329786777496338 	 LR:  [0.0005] 	 Epsilon:  0.46329123015975293
35500 	 Reward:  2.131 	 Win Rate:  0.0 	 Completion:  54 	 Efficiency:  51 	 Duration:  0 	 Loss:  0.6086816787719727 	 LR:  [0.0005] 	 Epsilon:  0.46329123015975293
36000 	 Reward:  2.345 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  52 	 Duration:  0 	 Loss:  0.6049016714096069 	 LR:  [0.0005] 	 Epsilon:  0.46329123015975293
36500 	 Reward:  2.344 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.595942497253418 	 LR:  [0.0005] 	 Epsilon:  0.46329123015975293
37000 	 Reward:  2.169 	 Win Rate:  0.2 	 Completion:  57 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.6098366379737854 	 LR:  [0.0005] 	 Epsilon:  0.46329123015975293
37500 	 Reward:  2.456 	 Win Rate:  0.0 	 Completion:  59 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.5890125632286072 	 LR:  [0.0005] 	 Epsilon:  0.46329123015975293
38000 	 Reward:  2.543 	 Win Rate:  0.0 	 Completion:  60 	 Efficiency:  56 	 Duration:  0 	 Loss:  0.6092169284820557 	 LR:  [0.0005] 	 Epsilon:  0.44012666865176525
38500 	 Reward:  2.438 	 Win Rate:  0.0 	 Completion:  59 	 Efficiency:  57 	 Duration:  0 	 Loss:  0.6447649002075195 	 LR:  [0.0005] 	 Epsilon:  0.41812033521917696
39000 	 Reward:  2.531 	 Win Rate:  0.0 	 Completion:  59 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.605864405632019 	 LR:  [0.0005] 	 Epsilon:  0.41812033521917696
39500 	 Reward:  2.212 	 Win Rate:  0.0 	 Completion:  55 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.6073015332221985 	 LR:  [0.0005] 	 Epsilon:  0.41812033521917696
40000 	 Reward:  2.283 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.570260763168335 	 LR:  [0.0005] 	 Epsilon:  0.41812033521917696
40500 	 Reward:  2.325 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.6138617992401123 	 LR:  [0.0005] 	 Epsilon:  0.41812033521917696
41000 	 Reward:  2.385 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.6306142210960388 	 LR:  [0.0005] 	 Epsilon:  0.41812033521917696
41500 	 Reward:  2.265 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.5861676931381226 	 LR:  [0.0005] 	 Epsilon:  0.41812033521917696
42000 	 Reward:  2.732 	 Win Rate:  0.2 	 Completion:  60 	 Efficiency:  57 	 Duration:  0 	 Loss:  0.6213427782058716 	 LR:  [0.0005] 	 Epsilon:  0.41812033521917696
42500 	 Reward:  2.313 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.5948148369789124 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
43000 	 Reward:  2.531 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.6029174327850342 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
43500 	 Reward:  2.314 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.599879264831543 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
44000 	 Reward:  2.495 	 Win Rate:  0.4 	 Completion:  57 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.5980329513549805 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
44500 	 Reward:  2.384 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.6163932085037231 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
45000 	 Reward:  2.553 	 Win Rate:  0.4 	 Completion:  56 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.5683927536010742 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
45500 	 Reward:  2.343 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.6160888671875 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
46000 	 Reward:  2.43 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.6136804819107056 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
46500 	 Reward:  2.455 	 Win Rate:  0.2 	 Completion:  58 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.5894199013710022 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
47000 	 Reward:  2.506 	 Win Rate:  0.2 	 Completion:  57 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.5772175192832947 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
47500 	 Reward:  2.308 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.6237865090370178 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
48000 	 Reward:  2.36 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.5709134936332703 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
48500 	 Reward:  2.277 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.6212830543518066 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
49000 	 Reward:  2.663 	 Win Rate:  0.2 	 Completion:  58 	 Efficiency:  56 	 Duration:  0 	 Loss:  0.5965059399604797 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
49500 	 Reward:  2.606 	 Win Rate:  0.0 	 Completion:  59 	 Efficiency:  57 	 Duration:  0 	 Loss:  0.5775375366210938 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
50000 	 Reward:  2.41 	 Win Rate:  0.2 	 Completion:  57 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.6174947023391724 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
50500 	 Reward:  2.526 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.6083406209945679 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
51000 	 Reward:  2.349 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  56 	 Duration:  0 	 Loss:  0.6016985177993774 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
51500 	 Reward:  2.489 	 Win Rate:  0.4 	 Completion:  57 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.579900324344635 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
52000 	 Reward:  2.457 	 Win Rate:  0.0 	 Completion:  55 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.6084258556365967 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
52500 	 Reward:  2.611 	 Win Rate:  0.0 	 Completion:  58 	 Efficiency:  57 	 Duration:  0 	 Loss:  0.590114414691925 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
53000 	 Reward:  2.354 	 Win Rate:  0.0 	 Completion:  58 	 Efficiency:  56 	 Duration:  0 	 Loss:  0.5757623910903931 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
53500 	 Reward:  2.369 	 Win Rate:  0.0 	 Completion:  55 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.5918949246406555 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
54000 	 Reward:  2.505 	 Win Rate:  0.0 	 Completion:  59 	 Efficiency:  57 	 Duration:  0 	 Loss:  0.5886133909225464 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
54500 	 Reward:  2.411 	 Win Rate:  0.2 	 Completion:  57 	 Efficiency:  53 	 Duration:  0 	 Loss:  0.5935267210006714 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
55000 	 Reward:  2.545 	 Win Rate:  0.0 	 Completion:  58 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.603135347366333 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
55500 	 Reward:  2.482 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  54 	 Duration:  0 	 Loss:  0.5960680246353149 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
56000 	 Reward:  2.716 	 Win Rate:  0.0 	 Completion:  58 	 Efficiency:  56 	 Duration:  0 	 Loss:  0.5980793833732605 	 LR:  [0.0005] 	 Epsilon:  0.3972143184582181
56500 	 Reward:  2.437 	 Win Rate:  0.0 	 Completion:  58 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.5915061831474304 	 LR:  [0.0005] 	 Epsilon:  0.37735360253530714
57000 	 Reward:  2.358 	 Win Rate:  0.0 	 Completion:  58 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.6083683967590332 	 LR:  [0.0005] 	 Epsilon:  0.37735360253530714
57500 	 Reward:  2.598 	 Win Rate:  0.0 	 Completion:  58 	 Efficiency:  57 	 Duration:  0 	 Loss:  0.5866807699203491 	 LR:  [0.0005] 	 Epsilon:  0.37735360253530714
58000 	 Reward:  2.477 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.5947895646095276 	 LR:  [0.0005] 	 Epsilon:  0.37735360253530714
58500 	 Reward:  2.434 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.5969048738479614 	 LR:  [0.0005] 	 Epsilon:  0.37735360253530714
59000 	 Reward:  2.615 	 Win Rate:  0.0 	 Completion:  56 	 Efficiency:  56 	 Duration:  0 	 Loss:  0.575690507888794 	 LR:  [0.0005] 	 Epsilon:  0.37735360253530714
59500 	 Reward:  2.521 	 Win Rate:  0.0 	 Completion:  58 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.5981037020683289 	 LR:  [0.0005] 	 Epsilon:  0.37735360253530714
60000 	 Reward:  2.624 	 Win Rate:  0.2 	 Completion:  57 	 Efficiency:  55 	 Duration:  0 	 Loss:  0.57122802734375 	 LR:  [0.0005] 	 Epsilon:  0.37735360253530714
60500 	 Reward:  2.509 	 Win Rate:  0.0 	 Completion:  59 	 Efficiency:  57 	 Duration:  0 	 Loss:  0.5888822674751282 	 LR:  [0.0005] 	 Epsilon:  0.37735360253530714
61000 	 Reward:  2.582 	 Win Rate:  0.0 	 Completion:  60 	 Efficiency:  56 	 Duration:  0 	 Loss:  0.5966405272483826 	 LR:  [0.0005] 	 Epsilon:  0.37735360253530714
61500 	 Reward:  2.603 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  56 	 Duration:  0 	 Loss:  0.5903815031051636 	 LR:  [0.0005] 	 Epsilon:  0.37735360253530714
62000 	 Reward:  2.439 	 Win Rate:  0.0 	 Completion:  58 	 Efficiency:  56 	 Duration:  0 	 Loss:  0.5924077033996582 	 LR:  [0.0005] 	 Epsilon:  0.37735360253530714
